date,store,type,actual_revenue,forecast_revenue,lower_ci,upper_ci,model
2012-11-11,10,future,,2104870.115187137,1917380.4845994408,2288984.496332296,Prophet
2012-11-18,10,future,,2083730.8638331275,1875932.9297990508,2265008.3254749286,Prophet
2012-11-25,10,future,,2205263.752248059,2010453.4236274024,2411300.539802995,Prophet
2012-12-02,10,future,,2385608.6054959344,2188982.33603847,2591345.7852313006,Prophet
2012-12-09,10,future,,2602097.260085936,2408739.0747812674,2797896.342291733,Prophet
2012-12-16,10,future,,2719646.304342012,2520450.87564278,2907603.6506827134,Prophet
2012-12-23,10,future,,2596254.559718722,2410233.335972757,2801331.197269896,Prophet
2012-12-30,10,future,,2233281.047460328,2034418.832781058,2427600.116529383,Prophet
2013-01-06,10,future,,1809895.688152902,1618958.3473438034,1991714.0042453432,Prophet
2013-01-13,10,future,,1550851.9095688316,1362239.3440365137,1741617.9418113274,Prophet
2013-01-20,10,future,,1549138.643643757,1349410.7789307754,1741459.832695816,Prophet
2012-02-10,11,backtest,1574287.76,1621476.382232399,1508046.1657031998,1732552.0058745414,Prophet
2012-02-17,11,backtest,1569607.94,1532665.4994791076,1422944.8409856816,1643064.595351534,Prophet
2012-02-24,11,backtest,1379473.03,1520242.0889276534,1404824.3045129594,1624563.3805737812,Prophet
2012-03-02,11,backtest,1438383.44,1464704.080371071,1349266.292928313,1574920.9697816528,Prophet
2012-03-09,11,backtest,1413382.76,1402524.4174344009,1296560.7142238563,1511926.7484122296,Prophet
2012-03-16,11,backtest,1441884.28,1386093.2018806983,1273501.76782889,1495572.6012561962,Prophet
2012-03-23,11,backtest,1300593.61,1389675.9068201426,1278678.3670463334,1494094.6774999606,Prophet
2012-03-30,11,backtest,1300104.03,1410073.9473929396,1308382.5740479373,1519402.1400905808,Prophet
2012-04-06,11,backtest,1596325.01,1480109.3464197095,1379852.1867067632,1589765.5456550547,Prophet
2012-04-13,11,backtest,1472752.01,1466887.9216713514,1360333.4100494443,1573702.7208874463,Prophet
2012-04-20,11,backtest,1315356.99,1438860.822050948,1326994.9992057402,1556513.6014053875,Prophet
2012-04-27,11,backtest,1236238.29,1397135.8725491145,1277110.328480241,1502649.0010956577,Prophet
2012-05-04,11,backtest,1370251.22,1369763.8688550426,1256955.288442405,1489862.9793550232,Prophet
2012-05-11,11,backtest,1300147.07,1306167.2229309592,1195054.0049619968,1420238.8613674494,Prophet
2012-05-18,11,backtest,1352442.31,1273862.970316688,1161450.7482866142,1389080.7140634286,Prophet
2012-05-25,11,backtest,1297335.87,1307578.6873730898,1198415.072421302,1412400.498482263,Prophet
2012-06-01,11,backtest,1361595.33,1342603.8697113856,1229682.7013713345,1456266.4805388807,Prophet
2012-06-08,11,backtest,1414343.53,1357957.5492516896,1243951.4456642263,1472809.4398516526,Prophet
2012-06-15,11,backtest,1417875.42,1363411.1237463746,1255491.4280315472,1480612.1518927133,Prophet
2012-06-22,11,backtest,1355680.3,1333497.4144013342,1223022.232622841,1438640.5800113669,Prophet
2012-06-29,11,backtest,1297028.6,1331029.4480187353,1217792.4236353412,1436584.4295309605,Prophet
2012-07-06,11,backtest,1461129.94,1371397.5341153713,1258860.9851501505,1482468.316732394,Prophet
2012-07-13,11,backtest,1320239.51,1361396.151439267,1251540.9952688208,1475593.401903569,Prophet
2012-07-20,11,backtest,1344483.81,1358033.0687353744,1255444.5279745075,1468671.338602174,Prophet
2012-07-27,11,backtest,1272395.02,1389077.975946915,1278072.5871578746,1501604.5090943135,Prophet
2012-08-03,11,backtest,1399341.07,1429695.9072021293,1324567.527101827,1549690.6129602443,Prophet
2012-08-10,11,backtest,1388973.65,1497313.9481603713,1382483.796249814,1599262.8293939603,Prophet
2012-08-17,11,backtest,1421307.2,1559893.450813489,1452318.7455618426,1667716.9799689131,Prophet
2012-08-24,11,backtest,1409515.73,1525686.2475479315,1422572.221933235,1638683.5425221545,Prophet
2012-08-31,11,backtest,1372872.35,1462533.4118599244,1344178.855576394,1580399.1011006327,Prophet
2012-09-07,11,backtest,1304584.4,1491534.460892533,1390319.6452202094,1615539.2303718317,Prophet
2012-09-14,11,backtest,1267675.05,1333679.9792642195,1214318.148441101,1441232.168380159,Prophet
2012-09-21,11,backtest,1326132.98,1358054.719337799,1254875.360332508,1470259.9909861907,Prophet
2012-09-28,11,backtest,1227430.73,1440692.916668441,1330256.308314415,1548278.6845477135,Prophet
2012-10-05,11,backtest,1422794.26,1512550.4088989538,1397701.5250638789,1622514.7181859394,Prophet
2012-10-12,11,backtest,1311965.09,1468330.5215821909,1347488.7124415047,1579223.6494002854,Prophet
2012-10-19,11,backtest,1232073.18,1466182.7258928306,1353173.5779410757,1580571.033213085,Prophet
2012-10-26,11,backtest,1200729.45,1490288.4137390442,1377193.2406734347,1605143.1827788097,Prophet
2012-11-04,11,future,,1655415.8160010977,1536586.2658106606,1755712.2578426995,Prophet
2012-11-11,11,future,,1667738.1417766216,1549582.794448987,1778540.524264902,Prophet
2012-11-18,11,future,,1731412.707641763,1618553.6887399135,1840937.7948130227,Prophet
2012-11-25,11,future,,1769735.2707463698,1656277.449138457,1881873.3525808337,Prophet
2012-12-02,11,future,,1888467.6084199967,1778224.0229947262,1997472.3276289927,Prophet
2012-12-09,11,future,,2064833.1897273653,1953335.34697516,2170690.172690325,Prophet
2012-12-16,11,future,,2185121.9975165464,2071359.592880479,2302031.5228792946,Prophet
2012-12-23,11,future,,2136358.2899141395,2016293.2317013189,2252117.7984390985,Prophet
2012-12-30,11,future,,1912628.8873420544,1805965.886890528,2026226.929058926,Prophet
2013-01-06,11,future,,1632508.3236833604,1524779.2150730456,1745841.0780115083,Prophet
2013-01-13,11,future,,1449778.1286353916,1340007.8482188135,1562811.8813939455,Prophet
2013-01-20,11,future,,1439850.084327092,1333453.7772940288,1551754.6809712031,Prophet
2012-02-10,12,backtest,1199330.85,1238197.3176304735,1141065.6509935886,1331861.0997899333,Prophet
2012-02-17,12,backtest,1240048.85,1126426.7783819137,1021435.4769271072,1230139.3612990566,Prophet
2012-02-24,12,backtest,1112034.72,1107931.6003146383,1013403.706969546,1208944.1166379526,Prophet
2012-03-02,12,backtest,1147636.96,1082545.8842200127,980256.0758534266,1181257.1374332176,Prophet
2012-03-09,12,backtest,1113208.57,1061420.203250288,961661.7244042546,1151241.3197896893,Prophet
2012-03-16,12,backtest,1088498.52,1032147.361180285,932768.2022793704,1128006.4864795487,Prophet
2012-03-23,12,backtest,1045419.87,1042328.1154158424,946320.3811250504,1130502.101728022,Prophet
2012-03-30,12,backtest,1025382.22,1019504.7807780612,916083.1805527996,1118689.5415978143,Prophet
2012-04-06,12,backtest,1128765.71,1055721.6438061802,960270.899706568,1158238.874222793,Prophet
2012-04-13,12,backtest,1083811.19,1062874.4704745102,963815.0821291272,1163793.8460365925,Prophet
2012-04-20,12,backtest,1006486.96,1067654.1777654325,967255.6124479276,1158477.7165068905,Prophet
2012-04-27,12,backtest,1004252.38,1054573.3089237977,960261.4378296952,1153503.635090904,Prophet
2012-05-04,12,backtest,1073433.69,1052825.3633190854,957281.3887793124,1156150.2324540874,Prophet
2012-05-11,12,backtest,1041995.22,1043986.5740572968,945186.725647614,1146992.716596556,Prophet
2012-05-18,12,backtest,1020486.05,1031523.017054471,933799.3721434512,1128194.5598898565,Prophet
2012-05-25,12,backtest,991514.21,1016633.6439173636,917509.1329561358,1119995.1085015824,Prophet
2012-06-01,12,backtest,981345.2,1031329.818578212,931217.1438034666,1131711.42164776,Prophet
2012-06-08,12,backtest,1086231.47,1051543.3207044206,954792.750828734,1152565.505957944,Prophet
2012-06-15,12,backtest,1019555.51,1059285.4808928615,961052.2219382932,1159919.4892284677,Prophet
2012-06-22,12,backtest,981386.25,1050333.1180283297,950390.2072020044,1150989.175477882,Prophet
2012-06-29,12,backtest,943124.74,1030609.4543819816,929385.5711454845,1128083.691579508,Prophet
2012-07-06,12,backtest,1014898.78,1025894.2588029052,930138.9339492598,1125706.5580407486,Prophet
2012-07-13,12,backtest,960312.75,1011292.1429575626,913628.4957591214,1110259.8113773342,Prophet
2012-07-20,12,backtest,941550.34,1026256.0048620356,930563.181888582,1121918.0945914409,Prophet
2012-07-27,12,backtest,916967.92,1017485.0498873092,920267.81439524,1119300.0950173987,Prophet
2012-08-03,12,backtest,958667.23,1025023.43190048,938444.0718850882,1125997.6231439922,Prophet
2012-08-10,12,backtest,984689.9,1028582.4473140324,929001.0735984264,1129957.4619817273,Prophet
2012-08-17,12,backtest,1005003.12,1052912.835542617,954505.3146833638,1149497.7255099588,Prophet
2012-08-24,12,backtest,1048101.39,1087809.567382763,980534.2875561313,1179874.2979592176,Prophet
2012-08-31,12,backtest,1061943.49,1062845.1742481508,967524.44241779,1163590.4479708408,Prophet
2012-09-07,12,backtest,955146.04,1122972.3003943018,1023459.6448039812,1213760.4592199596,Prophet
2012-09-14,12,backtest,885892.37,921988.0932583292,823553.3962819288,1020972.522734009,Prophet
2012-09-21,12,backtest,922735.37,893979.4781549264,794059.7883931296,987086.6159634443,Prophet
2012-09-28,12,backtest,880415.67,935389.6151908597,841174.8436905342,1033227.4357768968,Prophet
2012-10-05,12,backtest,979825.92,996832.294334706,895418.8252758698,1094426.5166336473,Prophet
2012-10-12,12,backtest,934917.47,992078.6928004596,902382.3748095352,1098791.5213859882,Prophet
2012-10-19,12,backtest,960945.43,975930.6941823656,878460.9530876571,1082774.1454701864,Prophet
2012-10-26,12,backtest,974697.6,977148.0300515676,880155.7405484039,1074392.0838222,Prophet
2012-11-04,12,future,,1114985.8226464277,1018705.060396308,1212446.5878375047,Prophet
2012-11-11,12,future,,1216228.3872286947,1117901.603189231,1318187.1733996742,Prophet
2012-11-18,12,future,,1245350.9415094769,1149290.2480864131,1349688.3996623796,Prophet
2012-11-25,12,future,,1278338.6999039403,1177387.6908529052,1378649.1749141517,Prophet
2012-12-02,12,future,,1317431.144666416,1224838.2683256203,1417811.1624692692,Prophet
2012-12-09,12,future,,1377493.4877243766,1278800.7652309004,1472249.9541229268,Prophet
2012-12-16,12,future,,1419283.07845745,1326928.72544219,1511919.3717066725,Prophet
2012-12-23,12,future,,1377446.9640774652,1278307.3798512416,1476178.3044940217,Prophet
2012-12-30,12,future,,1232563.4020653074,1129794.868341344,1323002.6631979833,Prophet
2013-01-06,12,future,,1048085.4449041156,953274.0631012024,1145275.1812683176,Prophet
2013-01-13,12,future,,926709.504503028,831985.649832706,1026012.2581404964,Prophet
2013-01-20,12,future,,926743.6133239951,830347.9534282858,1018022.9001980532,Prophet
2012-02-10,13,backtest,2069284.57,2148015.2734135906,1981337.4020964983,2345168.3868988794,Prophet
2012-02-17,13,backtest,2214477.06,1958652.168341573,1769398.2673739998,2132543.590153754,Prophet
2012-02-24,13,backtest,1929768.03,1964347.949701606,1769108.8149103094,2153099.94769744,Prophet
2012-03-02,13,backtest,1969742.76,1991737.007117672,1807727.12621778,2163451.5105738686,Prophet
2012-03-09,13,backtest,1986445.65,1976291.65162872,1787806.894467462,2156142.197137986,Prophet
2012-03-16,13,backtest,2025582.62,1913529.4247188105,1722588.14865147,2090228.4871815145,Prophet
2012-03-23,13,backtest,1904421.74,1922283.5222630803,1741018.997105213,2098777.26438906,Prophet
2012-03-30,13,backtest,1948982.7,1932012.6397867464,1747038.6612828004,2134766.794393715,Prophet
2012-04-06,13,backtest,2271614.76,1994846.6123734608,1816289.91810552,2186683.655969413,Prophet
2012-04-13,13,backtest,2057637.86,2004341.308670349,1819498.5845571808,2195637.475782648,Prophet
2012-04-20,13,backtest,1955689.12,2001294.2918335304,1832325.030330704,2176046.154082093,Prophet
2012-04-27,13,backtest,1970121.65,1945920.309527935,1759032.785654348,2109056.24693417,Prophet
2012-05-04,13,backtest,1995994.51,1987156.8928160744,1797023.5578406176,2169859.8506834945,Prophet
2012-05-11,13,backtest,2080764.17,1987956.3499995784,1804068.8957925576,2161055.958029821,Prophet
2012-05-18,13,backtest,2131900.55,1948151.184942472,1774065.9399248331,2138044.253632712,Prophet
2012-05-25,13,backtest,2043349.41,1948144.7985822167,1761485.3952482562,2131538.070295476,Prophet
2012-06-01,13,backtest,2035431.39,1982959.7867291493,1810235.9857790945,2167337.3248988814,Prophet
2012-06-08,13,backtest,2182437.9,2033243.4047532296,1836715.591782408,2217100.693913448,Prophet
2012-06-15,13,backtest,2152229.11,2112930.246901603,1923750.124784869,2304926.576929019,Prophet
2012-06-22,13,backtest,2094373.0,2106818.7115295115,1917975.0085902703,2289088.5368522382,Prophet
2012-06-29,13,backtest,2037663.71,2037494.794149415,1851431.883228224,2210737.4985226016,Prophet
2012-07-06,13,backtest,2184980.35,2010798.0875769544,1820456.866803601,2194402.199169009,Prophet
2012-07-13,13,backtest,2002750.99,1976786.998794949,1791558.160123223,2162565.488703824,Prophet
2012-07-20,13,backtest,2053089.32,2010729.8765277085,1834162.3679049755,2195831.697607224,Prophet
2012-07-27,13,backtest,1914430.53,1999188.050111513,1810857.570374228,2169205.0986832804,Prophet
2012-08-03,13,backtest,2044148.23,1995216.3412993527,1817065.9200404235,2189227.8635285483,Prophet
2012-08-10,13,backtest,2041019.92,2017879.11420368,1835787.1528645027,2206222.843688083,Prophet
2012-08-17,13,backtest,2095769.18,2064530.2555950824,1875401.615590792,2232364.742102375,Prophet
2012-08-24,13,backtest,2059458.25,2075112.011068344,1895077.3687131647,2247672.9706226774,Prophet
2012-08-31,13,backtest,2073855.42,1986841.8687387337,1795294.9781513135,2166858.802021664,Prophet
2012-09-07,13,backtest,2165796.31,2043121.6030204364,1865862.297907145,2238672.121649234,Prophet
2012-09-14,13,backtest,1919917.03,1786943.3680259194,1602407.105309292,1965631.6237017773,Prophet
2012-09-21,13,backtest,1938379.66,1809890.2779757988,1614632.97434331,1987033.002715621,Prophet
2012-09-28,13,backtest,1927664.11,1919430.376533697,1731854.5744454789,2108727.640679343,Prophet
2012-10-05,13,backtest,2041918.74,1998083.851645928,1822543.2413237889,2178640.3810616573,Prophet
2012-10-12,13,backtest,1999079.44,1978856.3548051084,1803336.364386861,2160777.987148289,Prophet
2012-10-19,13,backtest,2018010.15,1909248.6517060369,1718749.1321134395,2095083.0930010995,Prophet
2012-10-26,13,backtest,2035189.66,1916327.1491831536,1731129.1071355138,2094811.440287153,Prophet
2012-11-04,13,future,,1925552.7522234689,1753131.828229528,2102436.2578052264,Prophet
2012-11-11,13,future,,1972327.185565484,1795945.8831160276,2160405.600684622,Prophet
2012-11-18,13,future,,2035049.411520688,1854612.8418774784,2217006.467317972,Prophet
2012-11-25,13,future,,2075033.8448694628,1882338.5741786447,2264315.5622159108,Prophet
2012-12-02,13,future,,2231913.829694638,2052822.690555052,2414119.500351121,Prophet
2012-12-09,13,future,,2480073.9923577625,2294447.61823956,2664919.6451526647,Prophet
2012-12-16,13,future,,2636877.6927715405,2459436.2775409613,2828182.622762478,Prophet
2012-12-23,13,future,,2521207.233289387,2344249.300433457,2703179.565546705,Prophet
2012-12-30,13,future,,2142235.561526587,1958794.5687239585,2341079.5876681106,Prophet
2013-01-06,13,future,,1713720.7915917677,1522914.5057802773,1900382.3321216004,Prophet
2013-01-13,13,future,,1472067.9215687765,1279439.0847504763,1641151.500111874,Prophet
2013-01-20,13,future,,1483415.321113562,1295783.8498707886,1666751.4950614308,Prophet
2012-02-10,14,backtest,2077256.24,1971293.4917776373,1757586.1683219,2165182.864095907,Prophet
2012-02-17,14,backtest,2020550.99,1823283.5014318377,1624175.4770379732,2025993.245414928,Prophet
2012-02-24,14,backtest,1875040.16,1844315.0373917487,1642253.9494643146,2052706.0642387983,Prophet
2012-03-02,14,backtest,1926004.99,1887889.23848516,1693912.9578279867,2107918.1189647447,Prophet
2012-03-09,14,backtest,2020839.31,1911961.014544258,1703762.2517949936,2113766.034921797,Prophet
2012-03-16,14,backtest,1941040.5,1884306.628261579,1675955.6945898288,2086413.14920778,Prophet
2012-03-23,14,backtest,1893447.71,1867968.9638106653,1661500.095401117,2068239.441267657,Prophet
2012-03-30,14,backtest,1905033.01,1876664.5742655443,1679022.4251771455,2071846.160057803,Prophet
2012-04-06,14,backtest,2376022.26,1953060.244221022,1731441.1163147786,2157495.1243923367,Prophet
2012-04-13,14,backtest,1912909.69,2005910.3847557465,1805735.2092887624,2222421.5264541977,Prophet
2012-04-20,14,backtest,1875686.44,2001164.0103926195,1808645.281726784,2210419.1326276422,Prophet
2012-04-27,14,backtest,1784029.95,1912949.590111205,1736075.5700220382,2123928.952885189,Prophet
2012-05-04,14,backtest,1949354.29,1883229.916942605,1677856.9459746114,2083749.451468565,Prophet
2012-05-11,14,backtest,1987531.05,1916022.1390626207,1716242.151134122,2127592.3454703703,Prophet
2012-05-18,14,backtest,1932233.17,1957751.5931796927,1744642.0174170262,2171872.6902804486,Prophet
2012-05-25,14,backtest,2030869.61,1960742.8028072289,1749018.3941309142,2160513.8351968955,Prophet
2012-06-01,14,backtest,2049485.49,1962151.035721253,1758518.6649304472,2161005.8488583965,Prophet
2012-06-08,14,backtest,2099615.88,1950496.5412353503,1745190.1173956688,2158498.0912433527,Prophet
2012-06-15,14,backtest,1905733.68,2005996.8395668147,1805726.0604061573,2210283.919450816,Prophet
2012-06-22,14,backtest,1660228.88,2032382.147036264,1845085.337198621,2230556.901121214,Prophet
2012-06-29,14,backtest,1591835.02,1995206.1011187648,1809121.477026997,2194500.991308916,Prophet
2012-07-06,14,backtest,1862128.95,1929906.8368532667,1718750.0120041128,2131836.775951304,Prophet
2012-07-13,14,backtest,1544422.35,1855295.7530873856,1647782.288229118,2078771.1174080449,Prophet
2012-07-20,14,backtest,1553250.16,1825819.435873768,1633087.4887202985,2030900.610338911,Prophet
2012-07-27,14,backtest,1479514.66,1821746.970521529,1620670.588323886,2024363.6247062888,Prophet
2012-08-03,14,backtest,1656886.46,1813637.361145214,1619711.703409908,2037154.0590375697,Prophet
2012-08-10,14,backtest,1648570.03,1815642.4848072007,1605917.9384786452,2024030.2368684104,Prophet
2012-08-17,14,backtest,1660433.3,1836559.6379597413,1648310.8834021676,2040020.286662738,Prophet
2012-08-24,14,backtest,1621841.33,1876424.9004535093,1662741.844401004,2073325.6236339265,Prophet
2012-08-31,14,backtest,1613342.19,1900524.3269918791,1699354.435746805,2103760.651020176,Prophet
2012-09-07,14,backtest,1904512.34,1965994.286391117,1771101.232195434,2170899.786116922,Prophet
2012-09-14,14,backtest,1554794.22,1762193.3458518914,1552168.4385342952,1961790.520352106,Prophet
2012-09-21,14,backtest,1565352.46,1716520.8477608927,1509490.5783548765,1923540.2223944487,Prophet
2012-09-28,14,backtest,1522512.2,1738200.6253246614,1538530.0693844736,1949090.672691276,Prophet
2012-10-05,14,backtest,1687592.16,1795053.7227332282,1593733.0764195102,2006439.3024964551,Prophet
2012-10-12,14,backtest,1639585.61,1807996.652051288,1592216.2119863448,2023073.7355377013,Prophet
2012-10-19,14,backtest,1590274.72,1811033.2500874568,1609943.8062310172,2031856.5513311664,Prophet
2012-10-26,14,backtest,1704357.62,1828338.7316176065,1620546.8303042443,2034172.9103646404,Prophet
2012-11-04,14,future,,2048717.906293656,1855956.987870316,2251995.537747821,Prophet
2012-11-11,14,future,,2095930.3977910248,1889503.1638397088,2311362.9400983225,Prophet
2012-11-18,14,future,,2164121.928972271,1966426.84123772,2343215.2972405613,Prophet
2012-11-25,14,future,,2234243.2722875,2023055.815558795,2436890.166278002,Prophet
2012-12-02,14,future,,2395954.934978081,2186154.5913229543,2593192.347440324,Prophet
2012-12-09,14,future,,2620965.831827896,2421705.67526934,2809422.1168386284,Prophet
2012-12-16,14,future,,2753547.637535182,2536663.1939514712,2945757.798857845,Prophet
2012-12-23,14,future,,2634977.9067756822,2442295.984723824,2836816.911148319,Prophet
2012-12-30,14,future,,2271934.143553307,2073936.6345833472,2479798.5695831017,Prophet
2013-01-06,14,future,,1862129.4558018527,1644213.05627986,2074358.692183876,Prophet
2013-01-13,14,future,,1631321.9667269131,1425107.138706784,1832283.55214696,Prophet
2013-01-20,14,future,,1641712.5715886657,1443051.1806880834,1843554.0422799657,Prophet
2012-02-10,15,backtest,628218.22,657765.036899714,577366.6949006243,734873.638606059,Prophet
2012-02-17,15,backtest,598502.83,537338.0994100131,456648.7855440048,617256.6544394533,Prophet
2012-02-24,15,backtest,561137.06,533504.572684318,455145.7210406845,610268.0801736712,Prophet
2012-03-02,15,backtest,541292.64,534921.0079094163,452539.03943009913,611188.3258596837,Prophet
2012-03-09,15,backtest,545120.67,533405.4933506036,459180.50724437775,613768.3715983757,Prophet
2012-03-16,15,backtest,570611.23,528734.2811942704,447707.1521832583,603506.5806387343,Prophet
2012-03-23,15,backtest,565481.88,535730.2978918392,453563.46771401615,612102.0628247779,Prophet
2012-03-30,15,backtest,557547.25,537926.6801743967,456030.9832347511,613813.987166033,Prophet
2012-04-06,15,backtest,659950.36,578967.9563444951,495450.73104549904,657009.9503371583,Prophet
2012-04-13,15,backtest,558585.13,602819.240435477,527357.0354275757,684362.1116604041,Prophet
2012-04-20,15,backtest,534780.57,598243.7095347755,515044.33778037695,680519.7441071015,Prophet
2012-04-27,15,backtest,527402.62,550061.8028167894,469898.1140122176,630112.4666664717,Prophet
2012-05-04,15,backtest,577868.38,542612.9769414231,467179.9499474811,625351.4078713523,Prophet
2012-05-11,15,backtest,579539.95,558779.4436643816,480651.4332111194,641636.4654812871,Prophet
2012-05-18,15,backtest,600050.98,592619.2621465641,513490.46268794953,673390.8258873696,Prophet
2012-05-25,15,backtest,693780.42,617001.6591051607,541721.9785815198,698382.9474114657,Prophet
2012-06-01,15,backtest,663971.26,609237.422274086,529639.9114620986,691003.8722593917,Prophet
2012-06-08,15,backtest,611390.67,588996.5060235759,513193.7641943907,665076.4472973684,Prophet
2012-06-15,15,backtest,636737.65,597992.9577516816,518499.4288806881,677208.0358751172,Prophet
2012-06-22,15,backtest,687085.6,615550.5791597527,537990.057313197,696422.2304387355,Prophet
2012-06-29,15,backtest,624099.48,612627.1794095689,532679.8423144376,691320.7444427899,Prophet
2012-07-06,15,backtest,678024.75,606868.1007356757,525255.3320563316,681394.1580329653,Prophet
2012-07-13,15,backtest,591335.5,580379.487050959,502322.3748095287,661846.1750894916,Prophet
2012-07-20,15,backtest,592369.22,559785.1008584397,472848.204892065,639700.5072091697,Prophet
2012-07-27,15,backtest,571190.83,547285.6407411005,471166.4886855264,632782.2005832351,Prophet
2012-08-03,15,backtest,590739.62,545291.9358180149,464341.5925722549,626551.8360551371,Prophet
2012-08-10,15,backtest,590453.63,559398.492464689,478396.4611433031,638591.5375510739,Prophet
2012-08-17,15,backtest,579738.2,576809.6729620135,494308.4942241364,653511.0937804999,Prophet
2012-08-24,15,backtest,606210.77,584041.1722912437,502185.6142365941,663500.4322831718,Prophet
2012-08-31,15,backtest,610185.32,577875.5117401384,495759.4784901087,658674.5376657381,Prophet
2012-09-07,15,backtest,587259.82,655903.4486739929,572066.353436444,735524.3121533953,Prophet
2012-09-14,15,backtest,527509.76,506477.43772597896,422418.0781442784,585224.8953317397,Prophet
2012-09-21,15,backtest,533161.64,497279.2730311525,416328.7150778307,573288.078451354,Prophet
2012-09-28,15,backtest,553901.97,512775.42878638406,431461.7521538278,591383.5046867374,Prophet
2012-10-05,15,backtest,573498.64,536291.1504313268,454971.5961919821,612355.707795798,Prophet
2012-10-12,15,backtest,551799.63,538366.1218369782,459418.6010846018,619612.4534332779,Prophet
2012-10-19,15,backtest,555652.77,536302.6561118008,452221.4764718975,617256.8617382585,Prophet
2012-10-26,15,backtest,558473.6,536767.5814276221,454189.0035616134,624338.6377935121,Prophet
2012-11-04,15,future,,545055.1609609008,469855.6507708189,624089.8777914359,Prophet
2012-11-11,15,future,,568786.4912804984,487517.9540234561,647857.7161134019,Prophet
2012-11-18,15,future,,640368.9184352609,555541.6622606227,708132.6416851257,Prophet
